file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,130,css,df4ade45,Adrian,2025-01-24,01:09:21,-08:00,2025-01-24T01:09:21-08:00,0,17
style.css,131,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,14
style.css,132,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,133,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,134,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,135,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,19
style.css,136,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,8
style.css,137,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,13
style.css,138,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,18
style.css,139,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,140,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,141,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,20
style.css,142,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,16
style.css,143,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,17
style.css,144,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,26
style.css,145,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,20
style.css,146,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,26
style.css,147,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,29
style.css,148,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,18
style.css,149,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,21
style.css,150,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,151,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,152,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,10
style.css,153,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,16
style.css,154,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,155,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,156,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,18
style.css,157,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,16
style.css,158,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,14
style.css,159,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,12
style.css,160,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,161,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,0
style.css,162,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,25
style.css,163,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,18
style.css,164,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,165,css,df4ade45,Adrian,2025-01-24,01:09:21,-08:00,2025-01-24T01:09:21-08:00,0,0
style.css,166,css,df4ade45,Adrian,2025-01-24,01:09:21,-08:00,2025-01-24T01:09:21-08:00,0,14
style.css,167,css,df4ade45,Adrian,2025-01-24,01:09:21,-08:00,2025-01-24T01:09:21-08:00,0,13
style.css,168,css,df4ade45,Adrian,2025-01-24,01:09:21,-08:00,2025-01-24T01:09:21-08:00,0,19
style.css,169,css,df4ade45,Adrian,2025-01-24,01:09:21,-08:00,2025-01-24T01:09:21-08:00,0,10
style.css,170,css,df4ade45,Adrian,2025-01-24,01:09:21,-08:00,2025-01-24T01:09:21-08:00,0,18
style.css,171,css,df4ade45,Adrian,2025-01-24,01:09:21,-08:00,2025-01-24T01:09:21-08:00,0,9
style.css,172,css,df4ade45,Adrian,2025-01-24,01:09:21,-08:00,2025-01-24T01:09:21-08:00,0,11
